Gene	experiment	X18MM1
ECs0903	X18MM1	237
ECs0904	X18MM1	2170
ECs0905	X18MM1	3174
ECs0906	X18MM1	2067
ECs0907	X18MM1	2454
ECs0908	X18MM1	5660
ECs0909	X18MM1	4956
ECs0910	X18MM1	1171
ECs0911	X18MM1	615
ECs0912	X18MM1	163
ECs0913	X18MM1	102
ECs0914	X18MM1	1816
ECs0915	X18MM1	9156
ECs0916	X18MM1	1332
ECs0917	X18MM1	2577
ECs0918	X18MM1	2780
ECs0919	X18MM1	7892
ECs0920	X18MM1	3079
ECs0921	X18MM1	1923
ECs0922	X18MM1	1548
ECs0923	X18MM1	682
ECs0924	X18MM1	1870
ECs0925	X18MM1	2033
ECs0926	X18MM1	625
ECs0927	X18MM1	6402
ECs0928	X18MM1	1254
ECs0929	X18MM1	3494
ECs0930	X18MM1	359
ECs0931	X18MM1	1687
ECs0932	X18MM1	2324
ECs0933	X18MM1	4265
ECs0934	X18MM1	10780
ECs0935	X18MM1	5600
ECs0936	X18MM1	863
