mysql> select id, accession from sequence where organism like 'Es%';
+------+-----------+
| id   | accession |
|  844 | ECs0821   |
|  845 | ECs0822   |
|  846 | ECs0823   |
|  847 | ECs0824   |
|  848 | ECs0825   |
|  849 | ECs0826   |
|  850 | ECs0827   |
|  851 | ECs0828   |
|  852 | ECs0829   |
|  853 | ECs0830   |
|  854 | ECs0831   |
|  855 | ECs0832   |
|  856 | ECs0833   |
|  857 | ECs0834   |
|  858 | ECs0835   |
|  859 | ECs0836   |
|  860 | ECs0837   |
|  861 | ECs0838   |
|  862 | ECs0839   |
|  863 | ECs0840   |
|  864 | ECs0841   |
|  865 | ECs0842   |
|  866 | ECs0843   |
|  867 | ECs0844   |
|  868 | ECs0845   |
|  869 | ECs0846   |
|  870 | ECs0847   |
|  871 | ECs0848   |
|  872 | ECs0849   |
|  873 | ECs0850   |
|  874 | ECs0851   |
|  875 | ECs0852   |
|  876 | ECs0853   |
|  877 | ECs0854   |
|  878 | ECs0855   |
|  879 | ECs0856   |
|  880 | ECs0857   |
|  881 | ECs0858   |
|  882 | ECs0859   |
|  883 | ECs0860   |
|  884 | ECs0861   |
|  885 | ECs0862   |
|  886 | ECs0863   |
|  887 | ECs0864   |
|  888 | ECs0865   |
|  889 | ECs0866   |
|  890 | ECs0867   |
|  891 | ECs0868   |
|  892 | ECs0869   |
|  893 | ECs0870   |
|  894 | ECs0871   |
|  895 | ECs0872   |
|  896 | ECs0873   |
|  897 | ECs0874   |
|  898 | ECs0875   |
|  899 | ECs0876   |
|  900 | ECs0877   |
|  901 | ECs0878   |
|  902 | ECs0879   |
|  903 | ECs0880   |
|  904 | ECs0881   |
|  905 | ECs0882   |
|  906 | ECs0883   |
|  907 | ECs0884   |
|  908 | ECs0885   |
|  909 | ECs0886   |
|  910 | ECs0887   |
|  911 | ECs0888   |
|  912 | ECs0889   |
|  913 | ECs0890   |
|  914 | ECs0891   |
|  915 | ECs0892   |
|  916 | ECs0893   |
|  917 | ECs0894   |
|  918 | ECs0895   |
|  919 | ECs0896   |
|  920 | ECs0897   |
|  921 | ECs0898   |
|  922 | ECs0899   |
|  923 | ECs0900   |
|  924 | ECs0901   |
|  925 | ECs0902   |
|  926 | ECs0903   |
|  927 | ECs0904   |
|  928 | ECs0905   |
|  929 | ECs0906   |
|  930 | ECs0907   |
|  931 | ECs0908   |
|  932 | ECs0909   |
|  933 | ECs0910   |
|  934 | ECs0911   |
|  935 | ECs0912   |
|  936 | ECs0913   |
|  937 | ECs0914   |
|  938 | ECs0915   |
|  939 | ECs0916   |
|  940 | ECs0917   |
|  941 | ECs0918   |
|  942 | ECs0919   |
|  943 | ECs0920   |
|  944 | ECs0921   |
|  945 | ECs0922   |
|  946 | ECs0923   |
|  947 | ECs0924   |
|  948 | ECs0925   |
|  949 | ECs0926   |
|  950 | ECs0927   |
|  951 | ECs0928   |
|  952 | ECs0929   |
|  953 | ECs0930   |
|  954 | ECs0931   |
|  955 | ECs0932   |
|  956 | ECs0933   |
|  957 | ECs0934   |
|  958 | ECs0935   |
|  959 | ECs0936   |
|  960 | ECs0937   |
|  961 | ECs0938   |
|  962 | ECs0939   |
|  963 | ECs0940   |
|  964 | ECs0941   |
|  965 | ECs0942   |
|  966 | ECs0943   |
|  967 | ECs0944   |
|  968 | ECs0945   |
|  969 | ECs0946   |
|  970 | ECs0947   |
|  971 | ECs0948   |
|  972 | ECs0949   |
|  973 | ECs0950   |
|  974 | ECs0951   |
|  975 | ECs0952   |
|  976 | ECs0953   |
|  977 | ECs0954   |
|  978 | ECs0955   |
|  979 | ECs0956   |
|  980 | ECs0957   |
|  981 | ECs0958   |
|  982 | ECs0959   |
|  983 | ECs0960   |
|  984 | ECs0961   |
|  985 | ECs0962   |
|  986 | ECs0963   |
|  987 | ECs0964   |
|  988 | ECs0965   |
|  989 | ECs0966   |
|  990 | ECs0967   |
|  991 | ECs0968   |
|  992 | serW      |
|  993 | ECs0969   |
|  994 | ECs0970   |
|  995 | ECs0971   |
|  996 | ECs0972   |
|  997 | ECs0973   |
|  998 | ECs0974   |
|  999 | ECs0975   |
| 1000 | ECs0976   |
| 1001 | ECs0977   |
| 1002 | ECs0978   |
| 1003 | ECs0979   |
| 1004 | ECs0980   |
| 1005 | ECs0981   |
| 1006 | ECs0982   |
| 1007 | ECs0983   |
| 1008 | ECs0984   |
| 1009 | ECs0985   |
| 1010 | ECs0986   |
| 1011 | ECs0987   |
| 1012 | ECs0988   |
| 1013 | ECs0989   |
| 1014 | ECs0990   |
| 1015 | ECs0991   |
| 1016 | ECs0992   |
| 1017 | ECs0993   |
| 1018 | ECs0994   |
| 1019 | ECs0995   |
| 1020 | ECs0996   |
| 1021 | ECs0997   |
| 1022 | ECs0998   |
| 1023 | ECs0999   |
| 1024 | ECs1000   |
| 1025 | ECs1001   |
| 1026 | ECs1002   |
| 1027 | ECs1003   |
| 1028 | ECs1004   |
| 1029 | ECs1005   |
| 1030 | ECs1006   |
| 1031 | ECs1007   |
| 1032 | ECs1008   |
| 1033 | ECs1009   |
| 1034 | ECs1010   |
| 1035 | ECs1011   |
| 1036 | ECs1012   |
| 1037 | ECs1013   |
| 1038 | ECs1014   |
| 1039 | ECs1015   |
| 1040 | ECs1016   |
| 1041 | ECs1017   |
| 1042 | ECs1018   |
| 1043 | ECs1019   |
| 1044 | ECs1020   |
| 1045 | ECs1021   |
| 1046 | ECs1022   |
| 1047 | ECs1023   |
| 1048 | ECs1024   |
| 1049 | ECs1025   |
| 1050 | ECs1026   |
| 1051 | ECs1027   |
| 1052 | ECs1028   |
| 1053 | ECs1029   |
| 1054 | ECs1030   |
| 1055 | ECs1031   |
| 1056 | ECs1032   |
| 1057 | ECs1033   |
